S,ID,E,N,RTK_true,depth_begin_cm,depth_end_cm,thickness,N,OC,pH,%CF,%sand,%silt,%clay,BD_f,BD_m,CaCO3_true,c_root %,f_root %,t_root%
2,D1,517767.585,4782052.302,1,0,5,0.05,0.12,1.20,NaN,21,NaN,NaN,NaN,NaN,1380,0,0.58,0.14,0.72
2,D2,517767.585,4782052.302,1,5,0,0.05,0.12,1.17,NaN,19,NaN,NaN,NaN,NaN,1386,0,0.41,0.10,0.52
2,D3,517767.585,4782052.302,1,10,20,0.1,0.08,0.95,NaN,26,NaN,NaN,NaN,NaN,1430,0,0.44,0.07,0.51
2,D4,517767.585,4782052.302,1,20,30,0.1,0.07,0.75,NaN,37,NaN,NaN,NaN,NaN,1480,0,0.37,0.06,0.43
2,E1,517772.903,4782033.865,1,0,5,0.05,0.09,1.22,NaN,13,NaN,NaN,NaN,NaN,1377,0,1.18,0.22,1.40
2,E2,517772.903,4782033.865,1,5,0,0.05,0.10,0.97,NaN,16,NaN,NaN,NaN,NaN,1425,0,0.51,0.16,0.67
2,E3,517772.903,4782033.865,1,10,20,0.1,0.09,0.83,NaN,17,NaN,NaN,NaN,NaN,1457,0,0.48,0.01,0.50
2,E4,517772.903,4782033.865,1,20,30,0.1,0.08,0.63,NaN,19,NaN,NaN,NaN,NaN,1518,0,0.65,0.04,0.70
2,F1,517773.646,4782034.887,1,0,5,0.05,0.13,1.68,NaN,13,NaN,NaN,NaN,NaN,1313,0,1.18,0.27,1.45
2,F2,517773.646,4782034.887,1,5,0,0.05,0.11,1.30,NaN,15,NaN,NaN,NaN,NaN,1364,0,0.57,0.26,0.83
2,F3,517773.646,4782034.887,1,10,20,0.1,0.08,1.05,NaN,13,NaN,NaN,NaN,NaN,1408,0,1.74,0.10,1.84
2,F4,517773.646,4782034.887,1,20,30,0.1,0.14,0.90,NaN,44,NaN,NaN,NaN,NaN,1440,0,0.55,0.08,0.63
2,G1,517759.158,4782029.525,1,0,5,0.05,0.09,1.24,NaN,20,NaN,NaN,NaN,NaN,1374,0,0.92,0.46,1.38
2,G2,517759.158,4782029.525,1,5,0,0.05,0.16,1.08,NaN,13,NaN,NaN,NaN,NaN,1401,0,0.58,0.12,0.70
2,G3,517759.158,4782029.525,1,10,20,0.1,0.09,0.90,NaN,22,NaN,NaN,NaN,NaN,1440,0,0.51,0.04,0.55
2,G4,517759.158,4782029.525,1,20,30,0.1,0.13,0.68,NaN,31,NaN,NaN,NaN,NaN,1503,0,0.56,0.02,0.58
2,H1,517757.83,4782029.828,1,0,5,0.05,0.09,1.15,NaN,16,NaN,NaN,NaN,NaN,1388,0,0.96,0.38,1.34
2,H2,517757.83,4782029.828,1,5,0,0.05,0.11,1.15,NaN,17,NaN,NaN,NaN,NaN,1388,0,0.52,0.11,0.63
2,H3,517757.83,4782029.828,1,10,20,0.1,0.10,1.01,NaN,33,NaN,NaN,NaN,NaN,1416,0,0.54,0.05,0.59
2,H4,517757.83,4782029.828,1,20,30,0.1,0.06,0.65,NaN,49,NaN,NaN,NaN,NaN,1510,0,0.42,0.02,0.44
2,I1,517744.447,4782063.496,1,0,5,0.05,0.12,1.88,NaN,12,NaN,NaN,NaN,NaN,1291,0,2.28,NaN,NaN
2,I2,517744.447,4782063.496,1,5,0,0.05,0.08,0.93,NaN,19,NaN,NaN,NaN,NaN,1433,0,0.75,NaN,NaN
2,I3,517744.447,4782063.496,1,10,20,0.1,0.08,0.97,NaN,25,NaN,NaN,NaN,NaN,1424,0,0.46,0.14,0.59
2,I4,517744.447,4782063.496,1,20,30,0.1,0.07,0.78,NaN,26,NaN,NaN,NaN,NaN,1470,0,0.47,0.05,0.51
2,J1,517745.007,4782064.322,1,0,5,0.05,0.08,1.06,NaN,19,NaN,NaN,NaN,NaN,1406,0,0.68,0.26,0.94
2,J2,517745.007,4782064.322,1,5,0,0.05,0.07,1.04,NaN,16,NaN,NaN,NaN,NaN,1410,0,0.60,0.13,0.73
2,J3,517745.007,4782064.322,1,10,20,0.1,0.06,0.74,NaN,15,NaN,NaN,NaN,NaN,1483,0,0.52,0.07,0.59
